chunk_id,position,character,text
001,C3,Debra,"Hi Chris, I'm in the leisure and services floor of this multi-level department store."
001,E5,Chris,"Hey Debra. I'm on the apparel floor. The place is pretty spread out, huh?"
001,C3,Debra,Definitely. I see a vending machine near the children's play zone here.
001,E5,Chris,"Uh-huh, there's a door just ahead of me. It's a bit hard to see at first."
001,C3,Debra,"Got it. The vending machine has a toy section, by the way."
001,E5,Chris,Nice. I also noticed a security camera near the fitting rooms.
001,C3,Debra,"Okay, the vending machine is definitely a highlight here."
001,E5,Chris,"Hmm, there's a lighting fixture embedded in the drop ceiling above the main aisle."
001,C3,Debra,Right. I'm also near a queue barrier with a brass-post leading to the checkout lane.
001,E5,Chris,I see a seating bench by the escalators. I'm going to head towards a pram friendly route now.
001,C3,Debra,"That makes sense. The customer service desk here is u-shaped, enclosing a staff workstation."
001,E5,Chris,"Alright, I'll check the pram route and let you know if we can meet up there."
002,F5,Chris,I just arrived at the home and tech floor.
002,C3,Debra,Uh-huh.
002,F5,Chris,There's an ATM with a small screen beside the security monitor here.
002,C3,Debra,Got it.
002,F5,Chris,"Next to it, there's a circular promotional stand around the central pillar."
002,C3,Debra,Okay.
002,F5,Chris,And there's a three-door storage cabinet between the two storage racks.
002,C3,Debra,I'm heading to the disabled access ramp now.
