msg,time,user,A_type,B_type,m-type,receiver,A_inst,B_inst,userID,DU ID,Grounding Act,Opened CGUs,Grounded CGUs,Degree,m_type
Hello ,0:00:06,A,/d/dining_room,/c/casino/outdoor,text,All,/d/dining_room/ADE_train_00007065.jpg,/c/casino/outdoor/ADE_train_00005216.jpg,176.0,,,,,,
In the dining room now,0:00:13,A,/d/dining_room,/c/casino/outdoor,text,All,/d/dining_room/ADE_train_00007065.jpg,/c/casino/outdoor/ADE_train_00005216.jpg,176.0,[1],['Initiate'],[1],[],[],
hi,0:00:16,B,/d/dining_room,/c/casino/outdoor,text,All,/d/dining_room/ADE_train_00007065.jpg,/c/casino/outdoor/ADE_train_00005216.jpg,177.0,,,,,,
Will meet at the wine cellar,0:00:22,A,/d/dining_room,/w/wine_cellar/bottle_storage,text,All,/d/dining_room/ADE_train_00007065.jpg,/w/wine_cellar/bottle_storage/ADE_train_00000969.jpg,176.0,[2],['Initiate'],[2],[],[],
"are there two bottom rectangle shelves, and some diamond ones on top",0:01:04,B,/w/wine_cellar/bottle_storage,/w/wine_cellar/bottle_storage,text,All,/w/wine_cellar/bottle_storage/ADE_train_00020063.jpg,/w/wine_cellar/bottle_storage/ADE_train_00000969.jpg,177.0,"[4, 8]","['Use', 'Initiate']",[8],[4],['medium'],
let me change the room.,0:01:04,B,/w/wine_cellar/bottle_storage,/w/wine_cellar/bottle_storage,text,All,/w/wine_cellar/bottle_storage/ADE_train_00020063.jpg,/w/wine_cellar/bottle_storage/ADE_train_00000969.jpg,177.0,"[4, 8]","['Use', 'Initiate']",[8],[4],['medium'],
Im on the farm,0:01:04,A,/k/kennel/outdoor,/g/game_room,text,All,/k/kennel/outdoor/ADE_train_00010105.jpg,/g/game_room/ADE_train_00008406.jpg,393.0,[101],['Initiate'],[101],[101],[],
I'm in the game room,0:01:10,B,/k/kennel/outdoor,/g/game_room,text,All,/k/kennel/outdoor/ADE_train_00010105.jpg,/g/game_room/ADE_train_00008406.jpg,394.0,"[101, 102]","['Move', 'Initiate']",[102],"[102, 103]",['low'],
I can try heading North,0:01:35,B,/d/dining_room,/g/game_room,text,All,/d/dining_room/ADE_train_00006952.jpg,/g/game_room/ADE_train_00008406.jpg,394.0,[103],['Initiate'],[103],,[],
I made it to a dining area,0:01:44,A,/d/dining_room,/l/living_room,text,All,/d/dining_room/ADE_train_00006952.jpg,/l/living_room/ADE_train_00011432.jpg,393.0,"[102, 103, 104]","['Move', 'Move', 'Initiate']",[104],,"['low', 'low']",
I'm heading to a new location.,0:01:44,A,/d/dining_room,/l/living_room,text,All,/d/dining_room/ADE_train_00006952.jpg,/l/living_room/ADE_train_00011432.jpg,393.0,"[102, 103, 104]","['Move', 'Move', 'Initiate']",[104],,"['low', 'low']",
i am in the bathroom,0:01:44,A,/b/bathroom,/a/apartment_building/outdoor,text,All,/b/bathroom/ADE_train_00002739.jpg,/a/apartment_building/outdoor/ADE_train_00001414.jpg,172.0,[201],['Initiate'],[201],[201],[],
where are you at?,0:01:55,A,/b/bathroom,/a/apartment_building/outdoor,text,All,/b/bathroom/ADE_train_00002739.jpg,/a/apartment_building/outdoor/ADE_train_00001414.jpg,172.0,[202],['Initiate'],[202],[203],[],
I'm outside. Let's move around a bit.,0:01:59,B,/b/bathroom,/a/apartment_building/outdoor,text,All,/b/bathroom/ADE_train_00002739.jpg,/a/apartment_building/outdoor/ADE_train_00001414.jpg,173.0,"[201, 203]","['Move', 'Initiate']",[203],[204],['low'],
k,0:02:04,A,/b/bathroom,/a/apartment_building/outdoor,text,All,/b/bathroom/ADE_train_00002739.jpg,/a/apartment_building/outdoor/ADE_train_00001414.jpg,172.0,[203],['Explicit-Ack'],[205],"[205, 206]",['medium'],
I am in the basement,0:02:37,A,/b/basement,/b/basement,text,All,/b/basement/ADE_train_00002494.jpg,/b/basement/ADE_train_00002482.jpg,172.0,[205],['Initiate'],[205],"[207, 208]",[],
I'm in a basement.,0:02:37,B,/b/basement,/b/basement,text,All,/b/basement/ADE_train_00002494.jpg,/b/basement/ADE_train_00002482.jpg,173.0,[205],['Initiate'],[206],[209],[],
Has a white staircase?,0:02:49,B,/b/basement,/b/basement,text,All,/b/basement/ADE_train_00002494.jpg,/b/basement/ADE_train_00002482.jpg,173.0,"[204, 206]","['Use', 'Initiate']",[207],[210],['medium'],
no,0:02:54,A,/b/basement,/b/basement,text,All,/b/basement/ADE_train_00002494.jpg,/b/basement/ADE_train_00002482.jpg,172.0,"[205, 206, 207]","['Move', 'Use', 'Initiate']",[208],,"['low', 'medium']",
mine has wooden brown stair case,0:03:03,A,/b/basement,/b/basement,text,All,/b/basement/ADE_train_00002494.jpg,/b/basement/ADE_train_00002482.jpg,172.0,[208],['Initiate'],[209],,[],
Okay. Should I try to move towards you?,0:03:21,B,/b/basement,/b/basement,text,All,/b/basement/ADE_train_00002494.jpg,/b/basement/ADE_train_00002482.jpg,173.0,"[207, 208, 209]","['Explicit-Ack', 'Explicit-Ack', 'Initiate']",[210],,"['medium', 'medium']",
Sure,0:03:35,A,/b/basement,/b/basement,text,All,/b/basement/ADE_train_00002494.jpg,/b/basement/ADE_train_00002482.jpg,172.0,[209],['Use'],[211],,['medium'],
Wooden? What else?,0:03:37,B,/b/basement,/b/basement,text,All,/b/basement/ADE_train_00002494.jpg,/b/basement/ADE_train_00002482.jpg,173.0,[210],['Initiate'],[212],,[],
water heater and washer and dryer,0:03:53,A,/b/basement,/c/corridor,text,All,/b/basement/ADE_train_00002494.jpg,/c/corridor/ADE_train_00006285.jpg,172.0,"[210, 211]","['Use', 'Initiate']",,,['medium'],
a plastic chair and a screen door,0:04:08,A,/b/basement,/b/basement,text,All,/b/basement/ADE_train_00002494.jpg,/b/basement/ADE_train_00002494.jpg,172.0,[212],['Initiate'],,,[],
I'm heading to a new location.,0:04:08,A,/b/basement,/b/basement,text,All,/b/basement/ADE_train_00002494.jpg,/b/basement/ADE_train_00002494.jpg,172.0,[212],['Initiate'],,,[],
I have found a staircase,0:04:08,A,/s/staircase,/b/bathroom,text,All,/s/staircase/ADE_train_00016830.jpg,/b/bathroom/ADE_train_00002905.jpg,857.0,[301],['Initiate'],[301],"[301, 302, 303]",[],
The staircase is on my right and there is a hallway in front of me,0:04:34,A,/s/staircase,/b/bathroom,text,All,/s/staircase/ADE_train_00016830.jpg,/b/bathroom/ADE_train_00002905.jpg,857.0,[302],['Initiate'],[302],[305],[],
Find it?,0:04:58,A,/s/staircase,/s/staircase,text,All,/s/staircase/ADE_train_00016830.jpg,/s/staircase/ADE_train_00016816.jpg,857.0,[303],['Initiate'],[303],"[304, 306]",[],
found the staircash,0:05:01,B,/s/staircase,/s/staircase,text,All,/s/staircase/ADE_train_00016830.jpg,/s/staircase/ADE_train_00016816.jpg,858.0,"[301, 302, 303, 304]","['Use', 'Use', 'Use', 'Initiate']",[304],,"['medium', 'medium', 'medium']",
is it the one with the hallway in front of you?,0:05:15,A,/s/staircase,/s/staircase,text,All,/s/staircase/ADE_train_00016830.jpg,/s/staircase/ADE_train_00016816.jpg,857.0,[304],['Req-Repair'],[305],"[307, 308]",[],
it is to my east,0:05:27,B,/s/staircase,/s/staircase,text,All,/s/staircase/ADE_train_00016830.jpg,/s/staircase/ADE_train_00016816.jpg,858.0,[304],['Repair'],[306],[311],[],
and the staircase on the right?,0:05:30,A,/s/staircase,/s/staircase,text,All,/s/staircase/ADE_train_00016830.jpg,/s/staircase/ADE_train_00016816.jpg,857.0,[305],['Initiate'],[307],,[],
its on my left,0:05:38,B,/s/staircase,/s/staircase,text,All,/s/staircase/ADE_train_00016830.jpg,/s/staircase/ADE_train_00016816.jpg,858.0,"[305, 306]","['Use', 'Initiate']",,,['medium'],
We're not at the same staircase,0:05:53,A,/s/staircase,/s/staircase,text,All,/s/staircase/ADE_train_00016830.jpg,/s/staircase/ADE_train_00016816.jpg,857.0,"[304, 306, 307]","['Move', 'Use', 'Initiate']",[308],,"['low', 'medium']",
?w,0:06:10,B,/s/staircase,/s/staircase,text,All,/s/staircase/ADE_train_00016830.jpg,/s/staircase/ADE_train_00016816.jpg,858.0,,,[309],,,
My staircase is on the right side of the picture and there is a hallway in front of me,0:06:17,A,/s/staircase,/b/bathroom,text,All,/s/staircase/ADE_train_00016830.jpg,/b/bathroom/ADE_train_00002905.jpg,857.0,[308],['Initiate'],[311],,[],
I've played this game before - there are more than one staircase,0:06:37,A,/s/staircase,/b/bathroom,text,All,/s/staircase/ADE_train_00016830.jpg,/b/bathroom/ADE_train_00002905.jpg,857.0,[309],['Initiate'],[312],,[],
is the floor red?,0:06:57,B,/s/staircase,/s/staircase,text,All,/s/staircase/ADE_train_00016830.jpg,/s/staircase/ADE_train_00016815.jpg,858.0,"[307, 308, 311]","['Move', 'Use', 'Initiate']",[313],,"['low', 'medium']",
no,0:07:01,A,/s/staircase,/s/staircase,text,All,/s/staircase/ADE_train_00016830.jpg,/s/staircase/ADE_train_00016815.jpg,857.0,"[311, 312]","['Use', 'Initiate']",,,['medium'],
we are not in the same ,0:07:08,A,/s/staircase,/s/staircase,text,All,/s/staircase/ADE_train_00016830.jpg,/s/staircase/ADE_train_00016815.jpg,857.0,[313],['Initiate'],,,[],
What was the color of the stair in my basement like?,0:07:12,B,,,Question,,,,,,,,,,
It was white in color,0:07:16,A,,,Answer,,,,,,,,,,
white,,,,,,,,,,,,,,,answer_line
